Year,Region Code,Region Name,Number of arriving foreigners by province of border gate and mode of transport : Air way,Number of arriving foreigners by province of border gate and mode of transport : Rail way,Number of arriving foreigners by province of border gate and mode of transport : Road way,Number of arriving foreigners by province of border gate and mode of transport : Sea way,Number of arriving foreigners by province of border gate and mode of transport : Excursion
1995,TR321,Aydýn,-,-,-,29169,245070
1996,TR321,Aydýn,-,-,-,40336,260552
1997,TR321,Aydýn,-,-,-,46958,315401
1998,TR321,Aydýn,-,-,-,46886,349699
1999,TR321,Aydýn,-,-,-,23770,261501
2000,TR321,Aydýn,-,-,-,30300,392271
2001,TR321,Aydýn,-,-,-,30577,418034
2002,TR321,Aydýn,-,-,-,33807,163819
2003,TR321,Aydýn,-,-,-,27638,247698
2004,TR321,Aydýn,-,-,-,31111,226760
2005,TR321,Aydýn,-,-,-,36396,302527
2006,TR321,Aydýn,-,-,-,28980,375651
2007,TR321,Aydýn,-,-,-,37630,472242
2008,TR321,Aydýn,-,-,-,46292,547948
2009,TR321,Aydýn,-,-,-,40616,574486
2010,TR321,Aydýn,-,-,-,34807,494915
2011,TR321,Aydýn,-,-,-,34696,654435
2012,TR321,Aydýn,-,-,-,31055,561582
2013,TR321,Aydýn,-,-,-,32769,554484
2014,TR321,Aydýn,-,-,-,33606,524490
2015,TR321,Aydýn,-,-,-,31378,538274
2016,TR321,Aydýn,-,-,-,19069,329647
2017,TR321,Aydýn,-,-,-,17460,102960
2018,TR321,Aydýn,-,-,-,25943,103276
2019,TR321,Aydýn,-,-,-,34157,151470
2020,TR321,Aydýn,-,-,-,265,1644
2021,TR321,Aydýn,-,-,-,659,8605
2022,TR321,Aydýn,-,-,-,45120,466697
