Year,Region Code,Region Name,Number of arriving foreigners by province of border gate and mode of transport : Air way,Number of arriving foreigners by province of border gate and mode of transport : Rail way,Number of arriving foreigners by province of border gate and mode of transport : Road way,Number of arriving foreigners by province of border gate and mode of transport : Sea way,Number of arriving foreigners by province of border gate and mode of transport : Excursion
1995,TR323,Muðla,827095,-,-,56958,122068
1996,TR323,Muðla,828604,-,-,54282,104134
1997,TR323,Muðla,1085189,-,-,67770,116773
1998,TR323,Muðla,1008371,-,-,71075,133864
1999,TR323,Muðla,785352,-,-,54802,142176
2000,TR323,Muðla,1089194,-,-,62104,200432
2001,TR323,Muðla,1039587,-,-,81082,206464
2002,TR323,Muðla,1690141,-,-,89268,158782
2003,TR323,Muðla,1653288,-,-,124075,221089
2004,TR323,Muðla,2082383,-,-,158186,312172
2005,TR323,Muðla,2353477,-,-,177395,305021
2006,TR323,Muðla,1961733,-,-,145552,238200
2007,TR323,Muðla,2173713,-,-,155605,242602
2008,TR323,Muðla,2386392,-,-,156903,332906
2009,TR323,Muðla,2387253,-,-,141438,291607
2010,TR323,Muðla,2554517,-,-,146213,273156
2011,TR323,Muðla,2510587,-,-,189705,376216
2012,TR323,Muðla,2469840,-,-,182171,334618
2013,TR323,Muðla,2566477,-,-,174011,322201
2014,TR323,Muðla,2591317,-,-,241058,319555
2015,TR323,Muðla,2387042,-,-,217331,313627
2016,TR323,Muðla,1368353,-,-,123284,166099
2017,TR323,Muðla,1609791,-,-,214364,158313
2018,TR323,Muðla,2225080,-,-,320660,178075
2019,TR323,Muðla,2622989,-,-,384222,214527
2020,TR323,Muðla,663901,-,-,6090,22
2021,TR323,Muðla,974159,-,-,8168,45312
2022,TR323,Muðla,2460356,-,-,332150,197225
