Year,Region Code,Region Name,Number of arriving foreigners by province of border gate and mode of transport : Air way,Number of arriving foreigners by province of border gate and mode of transport : Rail way,Number of arriving foreigners by province of border gate and mode of transport : Road way,Number of arriving foreigners by province of border gate and mode of transport : Sea way,Number of arriving foreigners by province of border gate and mode of transport : Excursion
1995,TR310,Ýzmir,501262,-,-,20248,15101
1996,TR310,Ýzmir,427029,-,-,25805,13807
1997,TR310,Ýzmir,564814,-,-,42251,4216
1998,TR310,Ýzmir,523313,-,-,31545,10035
1999,TR310,Ýzmir,338960,-,-,25762,11754
2000,TR310,Ýzmir,432360,-,-,36897,12217
2001,TR310,Ýzmir,562740,-,-,46710,12067
2002,TR310,Ýzmir,597182,-,-,40980,12398
2003,TR310,Ýzmir,479753,-,-,38755,16278
2004,TR310,Ýzmir,627379,-,-,121312,7455
2005,TR310,Ýzmir,668075,-,-,116680,4244
2006,TR310,Ýzmir,541586,-,-,228800,6303
2007,TR310,Ýzmir,628121,-,-,330611,7961
2008,TR310,Ýzmir,696879,-,-,331941,5244
2009,TR310,Ýzmir,690329,-,-,95685,270778
2010,TR310,Ýzmir,748203,-,-,51482,356145
2011,TR310,Ýzmir,854558,-,-,51216,464244
2012,TR310,Ýzmir,849822,-,-,51113,467316
2013,TR310,Ýzmir,865796,-,-,37703,494960
2014,TR310,Ýzmir,898617,-,-,40307,354148
2015,TR310,Ýzmir,926729,-,-,36468,237352
2016,TR310,Ýzmir,627355,-,-,31396,13353
2017,TR310,Ýzmir,706819,-,-,41670,13150
2018,TR310,Ýzmir,859366,-,-,87081,-
2019,TR310,Ýzmir,1113348,-,-,109770,-
2020,TR310,Ýzmir,281931,-,-,15301,-
2021,TR310,Ýzmir,631083,-,-,6491,-
2022,TR310,Ýzmir,1337270,-,-,79172,46016
